Autor,Título,Data de lançamento,Preço R$,Desconto,Preço com desconto,Site
"Zambarda, Pedro",Internet Heroes Brasil,31/08/2017,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Weigand, Roberto",Isa Rosa,03/08/2012,"R$ 124,00",50%,"R$ 62,00",www.troiaeditora.com.br
"Duquesne, Jacques",Jesus,01/04/2019,"R$ 46,00",50%,"R$ 23,00",www.troiaeditora.com.br
"Gibson, Rachel",Loucamente sua,01/08/2012,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
"Avena, Armando",Luiza Mahin,06/12/2019,"R$ 42,00",50%,"R$ 21,00",www.troiaeditora.com.br
"Giardinelli, Mempo",Luna Caliente,05/04/2012,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Brönte, Véronique","Mãe, Eu Amo Você",17/04/2008,"R$ 59,00",50%,"R$ 29,50",www.troiaeditora.com.br
"Autores, Vários",Mãe: o maior presente da nossa vida,25/02/2015,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
"Klein, Zoë",Mais forte que a morte,31/08/2011,"R$ 66,00",50%,"R$ 33,00",www.troiaeditora.com.br
"Gibson, Rachel",Maluca por você,04/08/2014,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Reber, Ana; Fajardo, Fernanda",Maneco e Joana (Joana e Maneco),01/07/2013,"R$ 59,00",50%,"R$ 29,50",www.troiaeditora.com.br
"Squarisi, Dad",Manual de redação e estilo para mídias convergentes,30/11/2011,"R$ 46,00",50%,"R$ 23,00",www.troiaeditora.com.br
Diversos,Manual de Sobrevivência filosófico,31/03/2020,"R$ 49,90",50%,"R$ 24,95",www.troiaeditora.com.br
"Fletcher, Charlie",Mão de Ferro,10/09/2014,"R$ 34,00",50%,"R$ 17,00",www.troiaeditora.com.br
"Avena, Armando",Maria Madalena,23/07/2018,"R$ 139,00",50%,"R$ 69,50",www.troiaeditora.com.br
