Título,Autores,Preço,Preço com 50%
Energia e fluidos - Vol 2,"Coelho, João Carlos Martins (Autor)","R$121,00","R$60,50"
Energia e fluidos - Vol 3,"Coelho, João Carlos Martins (Autor)","R$94,00","R$47,00"
Energia nuclear e sustentabilidade,"Guimarães, Leonam dos Santos","R$51,00","R$25,50"
"Energia, estados e transformações químicas","Toma, Henrique E. (Autor)","R$48,00","R$24,00"
Energias renováveis,"Goldemberg, José (Coordenador),","R$47,00","R$23,50"
Engenharia das reações químicas,"Levenspiel, Octave (Autor)","R$180,00","R$90,00"
Engenharia de antenas,"Rios, Luiz Gonzaga (Autor), Perri,","R$107,00","R$53,50"
Engenharia de processos,"Perlingeiro, Carlos Augusto G. (Autor)","R$84,00","R$42,00"
Engenharia de produção aplicada ao agronegócio,"Reis, Joao Gilberto Mendes dos","R$85,00","R$42,50"
Engenharia portuária,"Arasaki, Emilia (Autor), Alfredini, Paola","R$330,00","R$165,00"
Engrenagens cilíndricas,"Mazzo, Norberto (Autor)","R$240,00","R$120,00"
Equívoco: ensaios sobre o feminino,"Grosman, Adriana (Organizador),","R$34,00","R$17,00"
Ergonomia,"Falzon, Pierre (Editor)","R$160,00","R$80,00"
Ergonomia - Projeto e produção,"Iida, Itiro (Autor), Buarque, Lia (Autor)","R$241,00","R$120,50"
Ergonomia construtiva,"Falzon, Pierre (Organizador)","R$102,00","R$51,00"
Ergonomia e usabilidade,"Abrahão, Júlia Issy (Autor), Montedo,","R$13,00","R$6,50"
Ergonomia prática,"Dul, Jan (Autor), Weerdmeester,","R$61,00","R$30,50"
Escalas de representação em arquitetura,"Carranza, Edite Galote (Autor),","R$95,00","R$47,50"
Escritos de design,"Moraes, Dijon De (Autor)","R$140,00","R$70,00"
Escuta psicanalítica,"Akhtar, Salman (Autor)","R$85,00","R$42,50"
Esgoto sanitário,"Nuvolari, Ariovaldo (Coordenador)","R$194,00","R$97,00"
Espaço,"Epiphanio, José Carlos Neves (Autor),","R$53,00","R$26,50"
Espécies e ecossistemas,"Olmos, Fábio (Autor), Goldemberg,","R$66,00","R$33,00"
Estabilidade de taludes naturais e de escavação,"Guidicini, Guido (Autor), Nieble, Carlos","R$82,00","R$41,00"
Estados não representados e a construção de significado,"Levine, Howard B. (Organizador),","R$110,00","R$55,00"
Estatística,"Costa Neto, Pedro Luiz de Oliveira","R$99,00","R$49,50"
Estereoisomeria de compostos orgânicos,"Góes, Alexandre J. S. (Autor)","R$75,00","R$37,50"
Estimação de indicadores de qualidade da energia elétrica,"Kagan, Nelson (Autor), Robba, Ernesto","R$91,00","R$45,50"
Estratégias de design para embalagens - vol 5,"Stewart, Bill (Autor)","R$79,00","R$39,50"
Estratificação socioeconômica e consumo no Brasil,"Kamakura, Wagner A. (Autor),","R$117,00","R$58,50"
"Estrutura atômica, ligações e estereoquímica","Toma, Henrique E. (Autor)","R$48,00","R$24,00"
